#
PriLevel,SecLevel,Trigger,Sync,ToothTime,Time
Flag,Flag,Flag,Flag,ms,ms
MARK 000
0.0,1.0,0.0,1.0,4.256,1672.316
0.0,0.0,1.0,1.0,3.402,1675.718
1.0,0.0,0.0,1.0,3.313,1679.031
0.0,0.0,0.0,1.0,4.253,1683.284
1.0,1.0,0.0,1.0,6.721,1690.005
1.0,0.0,1.0,1.0,3.363,1693.368
0.0,0.0,0.0,1.0,0.918,1694.286
1.0,0.0,0.0,1.0,6.741,1701.027
0.0,0.0,0.0,1.0,4.281,1705.308
1.0,1.0,0.0,1.0,6.722,1712.031
0.0,1.0,0.0,1.0,4.277,1716.308
0.0,0.0,1.0,1.0,3.405,1719.713
1.0,0.0,0.0,1.0,3.305,1723.018
0.0,0.0,0.0,1.0,4.241,1727.259
1.0,1.0,0.0,1.0,6.687,1733.947
1.0,0.0,1.0,1.0,3.348,1737.295
0.0,0.0,0.0,1.0,0.904,1738.199
1.0,0.0,0.0,1.0,6.664,1744.863
0.0,0.0,0.0,1.0,4.196,1749.059
1.0,1.0,0.0,1.0,6.644,1755.702
0.0,1.0,0.0,1.0,4.183,1759.885
0.0,0.0,1.0,1.0,3.361,1763.246
1.0,0.0,0.0,1.0,3.252,1766.498
0.0,0.0,0.0,1.0,4.154,1770.652
1.0,1.0,0.0,1.0,6.591,1777.243
1.0,0.0,1.0,1.0,3.262,1780.505
0.0,0.0,0.0,1.0,0.895,1781.400
1.0,0.0,0.0,1.0,6.563,1787.963
0.0,0.0,0.0,1.0,4.112,1792.075
1.0,1.0,0.0,1.0,6.550,1798.625
0.0,1.0,0.0,1.0,4.161,1802.786
0.0,0.0,1.0,1.0,3.328,1806.114
1.0,0.0,0.0,1.0,3.228,1809.342
0.0,0.0,0.0,1.0,4.110,1813.453
1.0,1.0,0.0,1.0,6.589,1820.042
1.0,0.0,1.0,1.0,3.247,1823.288
0.0,0.0,0.0,1.0,0.892,1824.180
