//------------------------------------------------------------------------------
//--  Generated by TunerStudio 
//--  Date: 5-24-2021
//--  Time: 16:5
//--  This file merely records what was sent to your Controller,        
//--  and may be deleted at any time.                                                    
//--  Selected type: AFR Table 
//------------------------------------------------------------------------------

//-- generated using refTable Generator:linearGenerator
//-- Table Identifier:002//-- generated by Custom linear generator using user input data:
//-- Volts:1, 4     AFR:9.29, 16.81
//----------------------------------------------------------//
ADC 	Value 	MSVal 	volts
358	11.17	112 	1.748
359	11.18	112 	1.753
360	11.19	112 	1.758
361	11.20	112 	1.763
362	11.21	112 	1.768
363	11.23	112 	1.772
364	11.24	112 	1.777
365	11.25	113 	1.782
366	11.26	113 	1.787
367	11.28	113 	1.792
368	11.29	113 	1.797
369	11.30	113 	1.802
370	11.31	113 	1.807
371	11.32	113 	1.812
372	11.34	113 	1.816
373	11.35	113 	1.821
374	11.36	114 	1.826
375	11.37	114 	1.831
376	11.39	114 	1.836
377	11.40	114 	1.841
378	11.41	114 	1.846
379	11.42	114 	1.851
380	11.43	114 	1.855
381	11.45	114 	1.860
382	11.46	115 	1.865
383	11.47	115 	1.870
384	11.48	115 	1.875
385	11.50	115 	1.880
386	11.51	115 	1.885
387	11.52	115 	1.890
388	11.53	115 	1.895
389	11.54	115 	1.899
390	11.56	116 	1.904
391	11.57	116 	1.909
392	11.58	116 	1.914
393	11.59	116 	1.919
394	11.61	116 	1.924
395	11.62	116 	1.929
396	11.63	116 	1.934
397	11.64	116 	1.938
398	11.65	117 	1.943
399	11.67	117 	1.948
400	11.68	117 	1.953
401	11.69	117 	1.958
402	11.70	117 	1.963
403	11.72	117 	1.968
404	11.73	117 	1.973
405	11.74	117 	1.978
406	11.75	118 	1.982
407	11.76	118 	1.987
408	11.78	118 	1.992
409	11.79	118 	1.997
410	11.80	118 	2.002
411	11.81	118 	2.007
412	11.83	118 	2.012
413	11.84	118 	2.017
414	11.85	119 	2.021
415	11.86	119 	2.026
416	11.88	119 	2.031
417	11.89	119 	2.036
418	11.90	119 	2.041
419	11.91	119 	2.046
420	11.92	119 	2.051
421	11.94	119 	2.056
422	11.95	119 	2.061
423	11.96	120 	2.065
424	11.97	120 	2.070
425	11.99	120 	2.075
426	12.00	120 	2.080
427	12.01	120 	2.085
428	12.02	120 	2.090
429	12.03	120 	2.095
430	12.05	120 	2.100
431	12.06	121 	2.104
432	12.07	121 	2.109
433	12.08	121 	2.114
434	12.10	121 	2.119
435	12.11	121 	2.124
436	12.12	121 	2.129
437	12.13	121 	2.134
438	12.14	121 	2.139
439	12.16	122 	2.144
440	12.17	122 	2.148
441	12.18	122 	2.153
442	12.19	122 	2.158
443	12.21	122 	2.163
444	12.22	122 	2.168
445	12.23	122 	2.173
446	12.24	122 	2.178
447	12.25	123 	2.183
448	12.27	123 	2.188
449	12.28	123 	2.192
450	12.29	123 	2.197
451	12.30	123 	2.202
452	12.32	123 	2.207
453	12.33	123 	2.212
454	12.34	123 	2.217
455	12.35	124 	2.222
456	12.36	124 	2.227
457	12.38	124 	2.231
458	12.39	124 	2.236
459	12.40	124 	2.241
460	12.41	124 	2.246
461	12.43	124 	2.251
462	12.44	124 	2.256
463	12.45	125 	2.261
464	12.46	125 	2.266
465	12.47	125 	2.271
466	12.49	125 	2.275
467	12.50	125 	2.280
468	12.51	125 	2.285
469	12.52	125 	2.290
470	12.54	125 	2.295
471	12.55	125 	2.300
472	12.56	126 	2.305
473	12.57	126 	2.310
474	12.58	126 	2.314
475	12.60	126 	2.319
476	12.61	126 	2.324
477	12.62	126 	2.329
478	12.63	126 	2.334
479	12.65	126 	2.339
480	12.66	127 	2.344
481	12.67	127 	2.349
482	12.68	127 	2.354
483	12.70	127 	2.358
484	12.71	127 	2.363
485	12.72	127 	2.368
486	12.73	127 	2.373
487	12.74	127 	2.378
488	12.76	128 	2.383
489	12.77	128 	2.388
490	12.78	128 	2.393
491	12.79	128 	2.397
492	12.81	128 	2.402
493	12.82	128 	2.407
494	12.83	128 	2.412
495	12.84	128 	2.417
496	12.85	129 	2.422
497	12.87	129 	2.427
498	12.88	129 	2.432
499	12.89	129 	2.437
500	12.90	129 	2.441
501	12.92	129 	2.446
502	12.93	129 	2.451
503	12.94	129 	2.456
504	12.95	130 	2.461
505	12.96	130 	2.466
506	12.98	130 	2.471
507	12.99	130 	2.476
508	13.00	130 	2.480
509	13.01	130 	2.485
510	13.03	130 	2.490
511	13.04	130 	2.495
512	13.05	131 	2.500
513	13.06	131 	2.505
514	13.07	131 	2.510
515	13.09	131 	2.515
516	13.10	131 	2.520
517	13.11	131 	2.524
518	13.12	131 	2.529
519	13.14	131 	2.534
520	13.15	131 	2.539
521	13.16	132 	2.544
522	13.17	132 	2.549
523	13.18	132 	2.554
524	13.20	132 	2.559
525	13.21	132 	2.563
526	13.22	132 	2.568
527	13.23	132 	2.573
528	13.25	132 	2.578
529	13.26	133 	2.583
530	13.27	133 	2.588
531	13.28	133 	2.593
532	13.29	133 	2.598
533	13.31	133 	2.603
534	13.32	133 	2.607
535	13.33	133 	2.612
536	13.34	133 	2.617
537	13.36	134 	2.622
538	13.37	134 	2.627
539	13.38	134 	2.632
540	13.39	134 	2.637
541	13.40	134 	2.642
542	13.42	134 	2.646
543	13.43	134 	2.651
544	13.44	134 	2.656
545	13.45	135 	2.661
546	13.47	135 	2.666
547	13.48	135 	2.671
548	13.49	135 	2.676
549	13.50	135 	2.681
550	13.52	135 	2.686
551	13.53	135 	2.690
552	13.54	135 	2.695
553	13.55	136 	2.700
554	13.56	136 	2.705
555	13.58	136 	2.710
556	13.59	136 	2.715
557	13.60	136 	2.720
558	13.61	136 	2.725
559	13.63	136 	2.729
560	13.64	136 	2.734
561	13.65	136 	2.739
562	13.66	137 	2.744
563	13.67	137 	2.749
564	13.69	137 	2.754
565	13.70	137 	2.759
566	13.71	137 	2.764
567	13.72	137 	2.769
568	13.74	137 	2.773
569	13.75	137 	2.778
570	13.76	138 	2.783
571	13.77	138 	2.788
572	13.78	138 	2.793
573	13.80	138 	2.798
574	13.81	138 	2.803
575	13.82	138 	2.808
576	13.83	138 	2.813
577	13.85	138 	2.817
578	13.86	139 	2.822
579	13.87	139 	2.827
580	13.88	139 	2.832
581	13.89	139 	2.837
582	13.91	139 	2.842
583	13.92	139 	2.847
584	13.93	139 	2.852
585	13.94	139 	2.856
586	13.96	140 	2.861
587	13.97	140 	2.866
588	13.98	140 	2.871
589	13.99	140 	2.876
590	14.00	140 	2.881
591	14.02	140 	2.886
592	14.03	140 	2.891
593	14.04	140 	2.896
594	14.05	141 	2.900
595	14.07	141 	2.905
596	14.08	141 	2.910
597	14.09	141 	2.915
598	14.10	141 	2.920
599	14.11	141 	2.925
600	14.13	141 	2.930
601	14.14	141 	2.935
602	14.15	142 	2.939
603	14.16	142 	2.944
604	14.18	142 	2.949
605	14.19	142 	2.954
606	14.20	142 	2.959
607	14.21	142 	2.964
608	14.22	142 	2.969
609	14.24	142 	2.974
610	14.25	142 	2.979
611	14.26	143 	2.983
612	14.27	143 	2.988
613	14.29	143 	2.993
614	14.30	143 	2.998
615	14.31	143 	3.003
616	14.32	143 	3.008
617	14.34	143 	3.013
618	14.35	143 	3.018
619	14.36	144 	3.022
620	14.37	144 	3.027
621	14.38	144 	3.032
622	14.40	144 	3.037
623	14.41	144 	3.042
624	14.42	144 	3.047
625	14.43	144 	3.052
626	14.45	144 	3.057
627	14.46	145 	3.062
628	14.47	145 	3.066
629	14.48	145 	3.071
